agency_name,date,value,baseline_2019,recovery_pct
Bay Area Rapid Transit,2020-01-01,9925918,10106508,98.2
Bay Area Rapid Transit,2020-02-01,9527569,9455714,100.8
Bay Area Rapid Transit,2020-03-01,4308934,10470980,41.2
Bay Area Rapid Transit,2020-04-01,656653,10779665,6.1
Bay Area Rapid Transit,2020-05-01,771234,10801006,7.1
Bay Area Rapid Transit,2020-06-01,1095623,10427019,10.5
Bay Area Rapid Transit,2020-07-01,1270292,10625438,12.0
Bay Area Rapid Transit,2020-08-01,1241828,10922850,11.4
Bay Area Rapid Transit,2020-09-01,1291618,10505807,12.3
Bay Area Rapid Transit,2020-10-01,1487371,11320625,13.1
Bay Area Rapid Transit,2020-11-01,1331091,9728758,13.7
Bay Area Rapid Transit,2020-12-01,1216162,9309469,13.1
Bay Area Rapid Transit,2021-01-01,1114032,10106508,11.0
Bay Area Rapid Transit,2021-02-01,1185642,9455714,12.5
Bay Area Rapid Transit,2021-03-01,1482805,10470980,14.2
Bay Area Rapid Transit,2021-04-01,1597612,10779665,14.8
Bay Area Rapid Transit,2021-05-01,1779074,10801006,16.5
Bay Area Rapid Transit,2021-06-01,2127746,10427019,20.4
Bay Area Rapid Transit,2021-07-01,2391835,10625438,22.5
Bay Area Rapid Transit,2021-08-01,2643220,10922850,24.2
Bay Area Rapid Transit,2021-09-01,2921077,10505807,27.8
Bay Area Rapid Transit,2021-10-01,3057821,11320625,27.0
Bay Area Rapid Transit,2021-11-01,2971042,9728758,30.5
Bay Area Rapid Transit,2021-12-01,2834892,9309469,30.5
Bay Area Rapid Transit,2022-01-01,2328579,10106508,23.0
Bay Area Rapid Transit,2022-02-01,2689680,9455714,28.4
Bay Area Rapid Transit,2022-03-01,3560435,10470980,34.0
Bay Area Rapid Transit,2022-04-01,3595725,10779665,33.4
Bay Area Rapid Transit,2022-05-01,3780985,10801006,35.0
Bay Area Rapid Transit,2022-06-01,3999328,10427019,38.4
Bay Area Rapid Transit,2022-07-01,3672785,10625438,34.6
Bay Area Rapid Transit,2022-08-01,4195650,10922850,38.4
Bay Area Rapid Transit,2022-09-01,4399967,10505807,41.9
Bay Area Rapid Transit,2022-10-01,4399766,11320625,38.9
Bay Area Rapid Transit,2022-11-01,3928429,9728758,40.4
Bay Area Rapid Transit,2022-12-01,3569502,9309469,38.3
Bay Area Rapid Transit,2023-01-01,3577697,10106508,35.4
Bay Area Rapid Transit,2023-02-01,3764194,9455714,39.8
Bay Area Rapid Transit,2023-03-01,4324376,10470980,41.3
Bay Area Rapid Transit,2023-04-01,4229321,10779665,39.2
Bay Area Rapid Transit,2023-05-01,4483736,10801006,41.5
Bay Area Rapid Transit,2023-06-01,4497899,10427019,43.1
Bay Area Rapid Transit,2023-07-01,4235423,10625438,39.9
Bay Area Rapid Transit,2023-08-01,4845494,10922850,44.4
Bay Area Rapid Transit,2023-09-01,4550822,10505807,43.3
Bay Area Rapid Transit,2023-10-01,4807188,11320625,42.5
Bay Area Rapid Transit,2023-11-01,4311590,9728758,44.3
Bay Area Rapid Transit,2023-12-01,3919728,9309469,42.1
Bay Area Rapid Transit,2024-01-01,4133086,10106508,40.9
Bay Area Rapid Transit,2024-02-01,4211327,9455714,44.5
Bay Area Rapid Transit,2024-03-01,4479626,10470980,42.8
Bay Area Rapid Transit,2024-04-01,4538901,10779665,42.1
Bay Area Rapid Transit,2024-05-01,4767259,10801006,44.1
Bay Area Rapid Transit,2024-06-01,4421768,10427019,42.4
Bay Area Rapid Transit,2024-07-01,4516085,10625438,42.5
Bay Area Rapid Transit,2024-08-01,4811857,10922850,44.1
Bay Area Rapid Transit,2024-09-01,4927208,10505807,46.9
Bay Area Rapid Transit,2024-10-01,5178577,11320625,45.7
Bay Area Rapid Transit,2024-11-01,4232312,9728758,43.5
Bay Area Rapid Transit,2024-12-01,4154021,9309469,44.6
Bay Area Rapid Transit,2025-01-01,4151331,10106508,41.1
Bay Area Rapid Transit,2025-02-01,4030808,9455714,42.6
Bay Area Rapid Transit,2025-03-01,4422230,10470980,42.2
Bay Area Rapid Transit,2025-04-01,4736423,10779665,43.9
Bay Area Rapid Transit,2025-05-01,4670575,10801006,43.2
Bay Area Rapid Transit,2025-06-01,4671882,10427019,44.8
Bay Area Rapid Transit,2025-07-01,4713700,10625438,44.4
Bay Area Rapid Transit,2025-08-01,4920496,10922850,45.0
Bay Area Rapid Transit,2025-09-01,5047121,10505807,48.0
Bay Area Rapid Transit,2025-10-01,5346891,11320625,47.2
Bay Area Rapid Transit,2025-11-01,4409065,9728758,45.3
Bay Area Rapid Transit,2025-12-01,4395799,9309469,47.2
Bay Area Rapid Transit,2026-01-01,4596545,10106508,45.5
Bay Area Rapid Transit,2026-02-01,4540045,9455714,48.0
Bay Area Rapid Transit,2026-03-01,5403169,10470980,51.6
Bay Area Rapid Transit,2026-04-01,5250519,10779665,48.7
