scraped_at,agency_id,status,rows_written,notes
2026-04-30T23:08:10Z,bart,success,16,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-04-30T23:17:01Z,bart,success,16,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-05-01T00:30:07Z,ntd,error,0,403 Client Error: Forbidden for url: https://www.transit.dot.gov/ntd/data-product/monthly-module-adjusted-data-release
2026-05-01T00:33:34Z,ntd,error,0,403 Client Error: Forbidden for url: https://www.transit.dot.gov/sites/fta.dot.gov/files/2026-04/February%202026%20Complete%20Monthly%20Ridership%20%28with%20adjustments%20and%20estimates%29_260402.xlsx
2026-05-01T00:34:33Z,ntd,error,0,403 Client Error: Forbidden for url: https://www.transit.dot.gov/sites/fta.dot.gov/files/2026-04/February%202026%20Complete%20Monthly%20Ridership%20%28with%20adjustments%20and%20estimates%29_260402.xlsx
2026-05-01T01:12:49Z,ntd,success,532,
2026-05-01T05:20:25Z,bart,success,16,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-05-01T05:22:30Z,bart,success,16,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-05-01T05:25:27Z,bart,success,16,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-05-01T05:36:52Z,bart,success,16,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-05-01T05:36:53Z,ntd,success,532,
2026-05-02T20:29:09Z,bart,success,16,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-05-02T20:58:09Z,ntd,success,535,
2026-05-02T21:41:54Z,muni,error,0,fetch_url() got an unexpected keyword argument 'headers'
2026-05-02T21:43:36Z,muni,success,72,
2026-05-02T21:46:58Z,ntd,success,2143,
2026-05-02T21:47:01Z,muni,success,72,
2026-05-02T22:04:23Z,muni,success,72,
2026-05-02T22:06:11Z,muni,success,72,
2026-05-02T22:06:59Z,muni,success,72,
2026-05-05T04:51:59Z,muni,success,72,
2026-05-05T04:52:27Z,ntd,success,2143,
2026-05-05T04:53:22Z,bart,success,17,BART submits exits as UPT to NTD. NTD applies a ~7.5% upward adjustment. Variance up to 10% between bart.gov and NTD is expected and normal.
2026-05-05T04:56:54Z,smart,success,104,
2026-05-05T05:00:12Z,smart,success,104,
2026-05-05T05:01:49Z,ntd,success,2281,
2026-05-05T05:01:51Z,smart,success,104,
2026-05-05T05:13:02Z,ntd,success,2281,
2026-05-05T05:13:04Z,smart,success,104,
2026-05-05T05:18:33Z,ntd,success,2281,
2026-05-05T05:18:34Z,smart,success,104,
